id_performance;id_employe;date_evaluation;score;objectifs_atteints
154;13;01/04/2024;86;VRAI
155;13;01/07/2024;77;FAUX
156;13;01/10/2024;83;FAUX
157;14;01/01/2022;64;FAUX
158;14;01/04/2022;66;VRAI
159;14;01/07/2022;96;FAUX
160;14;01/10/2022;65;VRAI
161;14;01/01/2023;58;VRAI
162;14;01/04/2023;98;VRAI
163;14;01/07/2023;62;VRAI
164;14;01/10/2023;70;VRAI
165;14;01/01/2024;59;FAUX
166;14;01/04/2024;62;VRAI
167;14;01/07/2024;69;VRAI
168;14;01/10/2024;96;FAUX
169;15;01/01/2022;57;FAUX
170;15;01/04/2022;58;VRAI
171;15;01/07/2022;90;VRAI
172;15;01/10/2022;60;FAUX
173;15;01/01/2023;59;VRAI
174;15;01/04/2023;98;VRAI
175;15;01/07/2023;74;VRAI
176;15;01/10/2023;85;VRAI
177;15;01/01/2024;75;FAUX
178;15;01/04/2024;88;FAUX
179;15;01/07/2024;89;VRAI
180;15;01/10/2024;53;VRAI
181;16;01/01/2022;79;FAUX
182;16;01/04/2022;84;VRAI
183;16;01/07/2022;80;FAUX
184;16;01/10/2022;92;VRAI
185;16;01/01/2023;53;FAUX
186;16;01/04/2023;65;VRAI
187;16;01/07/2023;71;VRAI
188;16;01/10/2023;60;FAUX
189;16;01/01/2024;82;FAUX
190;16;01/04/2024;78;FAUX
191;16;01/07/2024;88;FAUX
192;16;01/10/2024;56;FAUX
193;17;01/01/2022;88;FAUX
194;17;01/04/2022;97;FAUX
195;17;01/07/2022;89;VRAI
196;17;01/10/2022;90;FAUX
197;17;01/01/2023;94;VRAI
198;17;01/04/2023;85;VRAI
199;17;01/07/2023;73;FAUX
200;17;01/10/2023;66;FAUX
201;17;01/01/2024;62;VRAI
202;17;01/04/2024;78;FAUX
203;17;01/07/2024;77;FAUX
204;17;01/10/2024;76;VRAI
205;18;01/01/2022;80;FAUX
206;18;01/04/2022;64;VRAI
207;18;01/07/2022;69;FAUX
208;18;01/10/2022;61;VRAI
209;18;01/01/2023;58;VRAI
210;18;01/04/2023;57;FAUX
211;18;01/07/2023;97;FAUX
212;18;01/10/2023;76;VRAI
213;18;01/01/2024;62;VRAI
214;18;01/04/2024;70;VRAI
215;18;01/07/2024;80;VRAI
216;18;01/10/2024;97;FAUX
217;19;01/01/2022;92;FAUX
218;19;01/04/2022;54;VRAI
219;19;01/07/2022;77;VRAI
220;19;01/10/2022;74;VRAI
221;19;01/01/2023;84;VRAI
222;19;01/04/2023;88;VRAI
223;19;01/07/2023;87;FAUX
224;19;01/10/2023;52;FAUX
225;19;01/01/2024;94;VRAI
226;19;01/04/2024;86;VRAI
227;19;01/07/2024;99;FAUX
228;19;01/10/2024;57;VRAI
229;20;01/01/2022;76;VRAI
230;20;01/04/2022;95;VRAI
231;20;01/07/2022;91;FAUX
232;20;01/10/2022;97;FAUX
233;20;01/01/2023;76;FAUX
234;20;01/04/2023;57;VRAI
235;20;01/07/2023;91;VRAI
236;20;01/10/2023;98;FAUX
237;20;01/01/2024;78;FAUX
238;20;01/04/2024;69;FAUX
239;20;01/07/2024;66;FAUX
240;20;01/10/2024;68;FAUX
241;21;01/01/2022;57;FAUX
242;21;01/04/2022;87;VRAI
243;21;01/07/2022;78;VRAI
244;21;01/10/2022;85;FAUX
245;21;01/01/2023;80;FAUX
246;21;01/04/2023;61;VRAI
247;21;01/07/2023;66;VRAI
248;21;01/10/2023;58;VRAI
249;21;01/01/2024;91;FAUX
250;21;01/04/2024;61;FAUX
251;21;01/07/2024;74;VRAI
252;21;01/10/2024;67;VRAI
253;22;01/01/2022;81;FAUX
254;22;01/04/2022;93;VRAI
255;22;01/07/2022;84;FAUX
256;22;01/10/2022;87;FAUX
257;22;01/01/2023;54;FAUX
258;22;01/04/2023;65;FAUX
259;22;01/07/2023;74;FAUX
260;22;01/10/2023;75;FAUX
261;22;01/01/2024;71;VRAI
262;22;01/04/2024;92;FAUX
263;22;01/07/2024;61;VRAI
264;22;01/10/2024;77;FAUX
265;23;01/01/2022;69;VRAI
266;23;01/04/2022;72;VRAI
267;23;01/07/2022;78;FAUX
268;23;01/10/2022;95;FAUX
269;23;01/01/2023;57;VRAI
270;23;01/04/2023;69;VRAI
271;23;01/07/2023;63;VRAI
272;23;01/10/2023;86;FAUX
273;23;01/01/2024;83;VRAI
274;23;01/04/2024;89;VRAI
275;23;01/07/2024;80;VRAI
276;23;01/10/2024;93;FAUX
277;24;01/01/2022;99;VRAI
278;24;01/04/2022;98;FAUX
279;24;01/07/2022;72;FAUX
280;24;01/10/2022;56;FAUX
281;24;01/01/2023;74;VRAI
282;24;01/04/2023;52;VRAI
283;24;01/07/2023;87;FAUX
284;24;01/10/2023;83;VRAI
285;24;01/01/2024;93;FAUX
286;24;01/04/2024;93;FAUX
287;24;01/07/2024;66;VRAI
288;24;01/10/2024;59;VRAI
289;25;01/01/2022;69;FAUX
290;25;01/04/2022;67;VRAI
291;25;01/07/2022;93;VRAI
292;25;01/10/2022;98;FAUX
293;25;01/01/2023;72;FAUX
294;25;01/04/2023;59;VRAI
295;25;01/07/2023;87;FAUX
296;25;01/10/2023;90;FAUX
297;25;01/01/2024;96;FAUX
298;25;01/04/2024;85;VRAI
299;25;01/07/2024;66;FAUX
300;25;01/10/2024;89;FAUX
301;26;01/01/2022;61;VRAI
302;26;01/04/2022;89;VRAI
303;26;01/07/2022;52;FAUX
304;26;01/10/2022;68;VRAI
305;26;01/01/2023;55;FAUX
306;26;01/04/2023;57;FAUX
307;26;01/07/2023;67;FAUX
308;26;01/10/2023;97;VRAI
309;26;01/01/2024;88;FAUX
310;26;01/04/2024;98;VRAI
311;26;01/07/2024;61;VRAI
312;26;01/10/2024;59;VRAI
313;27;01/01/2022;95;VRAI
314;27;01/04/2022;50;VRAI
315;27;01/07/2022;85;VRAI
316;27;01/10/2022;86;FAUX
317;27;01/01/2023;73;VRAI
318;27;01/04/2023;74;VRAI
319;27;01/07/2023;91;VRAI
320;27;01/10/2023;78;FAUX
321;27;01/01/2024;56;VRAI
322;27;01/04/2024;56;FAUX
323;27;01/07/2024;73;VRAI
324;27;01/10/2024;58;FAUX
325;28;01/01/2022;84;VRAI
326;28;01/04/2022;53;FAUX
327;28;01/07/2022;77;VRAI
328;28;01/10/2022;62;VRAI
329;28;01/01/2023;68;FAUX
330;28;01/04/2023;86;VRAI
331;28;01/07/2023;73;FAUX
332;28;01/10/2023;82;FAUX
333;28;01/01/2024;83;VRAI
334;28;01/04/2024;60;VRAI
335;28;01/07/2024;78;FAUX
336;28;01/10/2024;62;VRAI
337;29;01/01/2022;51;VRAI
338;29;01/04/2022;64;VRAI
339;29;01/07/2022;60;FAUX
340;29;01/10/2022;88;FAUX
341;29;01/01/2023;60;VRAI
342;29;01/04/2023;51;VRAI
343;29;01/07/2023;65;VRAI
344;29;01/10/2023;62;VRAI
345;29;01/01/2024;66;VRAI
346;29;01/04/2024;93;FAUX
347;29;01/07/2024;68;VRAI
348;29;01/10/2024;87;FAUX
349;30;01/01/2022;62;VRAI
350;30;01/04/2022;51;VRAI
351;30;01/07/2022;60;FAUX
352;30;01/10/2022;55;VRAI
353;30;01/01/2023;75;VRAI
354;30;01/04/2023;88;VRAI
355;30;01/07/2023;55;VRAI
356;30;01/10/2023;78;VRAI
357;30;01/01/2024;88;FAUX
358;30;01/04/2024;68;FAUX
359;30;01/07/2024;55;VRAI
360;30;01/10/2024;86;VRAI
361;31;01/01/2022;77;FAUX
362;31;01/04/2022;56;VRAI
363;31;01/07/2022;74;VRAI
364;31;01/10/2022;50;VRAI
365;31;01/01/2023;55;FAUX
366;31;01/04/2023;59;FAUX
367;31;01/07/2023;60;VRAI
368;31;01/10/2023;50;VRAI
369;31;01/01/2024;86;FAUX
370;31;01/04/2024;50;FAUX
371;31;01/07/2024;52;FAUX
372;31;01/10/2024;90;FAUX
373;32;01/01/2022;80;VRAI
374;32;01/04/2022;66;VRAI
375;32;01/07/2022;95;VRAI
376;32;01/10/2022;85;VRAI
377;32;01/01/2023;75;VRAI
378;32;01/04/2023;66;FAUX
379;32;01/07/2023;74;FAUX
380;32;01/10/2023;71;VRAI
381;32;01/01/2024;53;FAUX
382;32;01/04/2024;55;FAUX
383;32;01/07/2024;70;VRAI
384;32;01/10/2024;86;VRAI
385;33;01/01/2022;74;FAUX
386;33;01/04/2022;88;FAUX
387;33;01/07/2022;82;FAUX
388;33;01/10/2022;85;VRAI
389;33;01/01/2023;70;FAUX
390;33;01/04/2023;65;FAUX
391;33;01/07/2023;65;FAUX
392;33;01/10/2023;69;VRAI
393;33;01/01/2024;77;FAUX
394;33;01/04/2024;73;VRAI
395;33;01/07/2024;74;VRAI
396;33;01/10/2024;82;FAUX
397;34;01/01/2022;64;FAUX
398;34;01/04/2022;59;FAUX
399;34;01/07/2022;71;FAUX
400;34;01/10/2022;98;VRAI
401;34;01/01/2023;62;VRAI
402;34;01/04/2023;54;FAUX
403;34;01/07/2023;62;VRAI
404;34;01/10/2023;63;FAUX
405;34;01/01/2024;52;VRAI
406;34;01/04/2024;98;FAUX
407;34;01/07/2024;84;FAUX
408;34;01/10/2024;63;FAUX
409;35;01/01/2022;77;FAUX
410;35;01/04/2022;78;VRAI
411;35;01/07/2022;66;FAUX
412;35;01/10/2022;98;VRAI
413;35;01/01/2023;72;FAUX
414;35;01/04/2023;60;VRAI
415;35;01/07/2023;83;FAUX
416;35;01/10/2023;59;VRAI
417;35;01/01/2024;55;FAUX
418;35;01/04/2024;73;FAUX
419;35;01/07/2024;92;VRAI
420;35;01/10/2024;72;VRAI
421;36;01/01/2022;94;VRAI
422;36;01/04/2022;55;VRAI
423;36;01/07/2022;55;FAUX
424;36;01/10/2022;71;VRAI
425;36;01/01/2023;73;VRAI
426;36;01/04/2023;64;FAUX
427;36;01/07/2023;57;VRAI
428;36;01/10/2023;73;FAUX
429;36;01/01/2024;87;VRAI
430;36;01/04/2024;55;FAUX
431;36;01/07/2024;84;FAUX
432;36;01/10/2024;50;FAUX
433;37;01/01/2022;95;FAUX
434;37;01/04/2022;61;FAUX
435;37;01/07/2022;60;FAUX
436;37;01/10/2022;91;FAUX
437;37;01/01/2023;88;VRAI
438;37;01/04/2023;60;FAUX
439;37;01/07/2023;80;VRAI
440;37;01/10/2023;62;FAUX
441;37;01/01/2024;90;FAUX
442;37;01/04/2024;73;VRAI
443;37;01/07/2024;80;VRAI
444;37;01/10/2024;90;FAUX
445;38;01/01/2022;51;FAUX
446;38;01/04/2022;64;VRAI
447;38;01/07/2022;92;VRAI
448;38;01/10/2022;55;VRAI
449;38;01/01/2023;60;VRAI
450;38;01/04/2023;94;FAUX
451;38;01/07/2023;77;FAUX
452;38;01/10/2023;87;VRAI
453;38;01/01/2024;99;FAUX
454;38;01/04/2024;56;VRAI
455;38;01/07/2024;67;FAUX
456;38;01/10/2024;90;FAUX
457;39;01/01/2022;51;FAUX
458;39;01/04/2022;69;FAUX
459;39;01/07/2022;92;FAUX
460;39;01/10/2022;56;FAUX
461;39;01/01/2023;79;FAUX
462;39;01/04/2023;54;VRAI
463;39;01/07/2023;50;FAUX
464;39;01/10/2023;50;VRAI
465;39;01/01/2024;51;VRAI
466;39;01/04/2024;69;VRAI
467;39;01/07/2024;72;VRAI
468;39;01/10/2024;73;FAUX
469;40;01/01/2022;61;FAUX
470;40;01/04/2022;69;FAUX
471;40;01/07/2022;50;FAUX
472;40;01/10/2022;82;FAUX
473;40;01/01/2023;63;FAUX
474;40;01/04/2023;54;VRAI
475;40;01/07/2023;73;FAUX
476;40;01/10/2023;80;VRAI
477;40;01/01/2024;62;FAUX
478;40;01/04/2024;73;VRAI
479;40;01/07/2024;73;FAUX
480;40;01/10/2024;75;FAUX
481;41;01/01/2022;65;FAUX
482;41;01/04/2022;95;VRAI
483;41;01/07/2022;98;VRAI
484;41;01/10/2022;84;VRAI
485;41;01/01/2023;78;VRAI
486;41;01/04/2023;66;FAUX
487;41;01/07/2023;88;FAUX
488;41;01/10/2023;77;VRAI
489;41;01/01/2024;92;VRAI
490;41;01/04/2024;59;VRAI
491;41;01/07/2024;91;FAUX
492;41;01/10/2024;61;VRAI
493;42;01/01/2022;91;FAUX
494;42;01/04/2022;81;FAUX
495;42;01/07/2022;91;FAUX
496;42;01/10/2022;75;VRAI
497;42;01/01/2023;50;FAUX
498;42;01/04/2023;91;FAUX
499;42;01/07/2023;66;FAUX
500;42;01/10/2023;88;VRAI
501;42;01/01/2024;76;VRAI
502;42;01/04/2024;71;FAUX
503;42;01/07/2024;95;VRAI
504;42;01/10/2024;50;VRAI
505;43;01/01/2022;69;VRAI
506;43;01/04/2022;68;FAUX
507;43;01/07/2022;89;VRAI
508;43;01/10/2022;53;VRAI
509;43;01/01/2023;90;FAUX
510;43;01/04/2023;71;FAUX
511;43;01/07/2023;61;FAUX
512;43;01/10/2023;92;VRAI
513;43;01/01/2024;58;FAUX
514;43;01/04/2024;68;FAUX
515;43;01/07/2024;96;VRAI
516;43;01/10/2024;65;VRAI
517;44;01/01/2022;65;VRAI
518;44;01/04/2022;86;VRAI
519;44;01/07/2022;68;FAUX
520;44;01/10/2022;86;VRAI
521;44;01/01/2023;66;FAUX
522;44;01/04/2023;75;FAUX
523;44;01/07/2023;57;VRAI
524;44;01/10/2023;82;FAUX
525;44;01/01/2024;79;VRAI
526;44;01/04/2024;69;FAUX
527;44;01/07/2024;67;VRAI
528;44;01/10/2024;59;FAUX
529;45;01/01/2022;53;VRAI
530;45;01/04/2022;53;VRAI
531;45;01/07/2022;74;VRAI
532;45;01/10/2022;67;VRAI
533;45;01/01/2023;73;FAUX
534;45;01/04/2023;97;VRAI
535;45;01/07/2023;68;VRAI
536;45;01/10/2023;77;VRAI
537;45;01/01/2024;88;VRAI
538;45;01/04/2024;59;VRAI
539;45;01/07/2024;91;VRAI
540;45;01/10/2024;58;FAUX
541;46;01/01/2022;96;VRAI
542;46;01/04/2022;84;VRAI
543;46;01/07/2022;54;VRAI
544;46;01/10/2022;71;FAUX
545;46;01/01/2023;90;VRAI
546;46;01/04/2023;56;FAUX
547;46;01/07/2023;72;FAUX
548;46;01/10/2023;74;VRAI
549;46;01/01/2024;90;FAUX
550;46;01/04/2024;83;VRAI
551;46;01/07/2024;58;FAUX
552;46;01/10/2024;98;VRAI
553;47;01/01/2022;55;VRAI
554;47;01/04/2022;80;FAUX
555;47;01/07/2022;90;FAUX
556;47;01/10/2022;78;FAUX
557;47;01/01/2023;63;FAUX
558;47;01/04/2023;85;VRAI
559;47;01/07/2023;64;FAUX
560;47;01/10/2023;75;FAUX
561;47;01/01/2024;97;VRAI
562;47;01/04/2024;77;FAUX
563;47;01/07/2024;65;FAUX
564;47;01/10/2024;61;FAUX
565;48;01/01/2022;89;FAUX
566;48;01/04/2022;91;VRAI
567;48;01/07/2022;78;VRAI
568;48;01/10/2022;67;FAUX
569;48;01/01/2023;91;VRAI
570;48;01/04/2023;67;VRAI
571;48;01/07/2023;88;VRAI
572;48;01/10/2023;50;VRAI
573;48;01/01/2024;53;FAUX
574;48;01/04/2024;69;FAUX
575;48;01/07/2024;72;VRAI
576;48;01/10/2024;83;FAUX
577;49;01/01/2022;95;FAUX
578;49;01/04/2022;82;FAUX
579;49;01/07/2022;88;VRAI
580;49;01/10/2022;59;FAUX
581;49;01/01/2023;69;VRAI
582;49;01/04/2023;62;VRAI
583;49;01/07/2023;54;FAUX
584;49;01/10/2023;64;VRAI
585;49;01/01/2024;77;VRAI
586;49;01/04/2024;72;FAUX
587;49;01/07/2024;94;VRAI
588;49;01/10/2024;66;VRAI
589;50;01/01/2022;83;VRAI
590;50;01/04/2022;63;VRAI
591;50;01/07/2022;77;FAUX
592;50;01/10/2022;81;VRAI
593;50;01/01/2023;80;VRAI
594;50;01/04/2023;96;VRAI
595;50;01/07/2023;59;FAUX
596;50;01/10/2023;70;VRAI
597;50;01/01/2024;99;VRAI
598;50;01/04/2024;55;FAUX
599;50;01/07/2024;80;VRAI
600;50;01/10/2024;60;FAUX
601;51;01/01/2022;97;VRAI
602;51;01/04/2022;51;VRAI
603;51;01/07/2022;50;FAUX
604;51;01/10/2022;85;FAUX
605;51;01/01/2023;74;VRAI
606;51;01/04/2023;58;FAUX
607;51;01/07/2023;72;FAUX
608;51;01/10/2023;59;FAUX
609;51;01/01/2024;92;FAUX
610;51;01/04/2024;79;FAUX
611;51;01/07/2024;55;FAUX
612;51;01/10/2024;51;FAUX
613;52;01/01/2022;51;FAUX
614;52;01/04/2022;91;FAUX
615;52;01/07/2022;61;VRAI
616;52;01/10/2022;57;FAUX
617;52;01/01/2023;99;VRAI
618;52;01/04/2023;64;VRAI
619;52;01/07/2023;93;FAUX
620;52;01/10/2023;59;FAUX
621;52;01/01/2024;54;FAUX
622;52;01/04/2024;68;VRAI
623;52;01/07/2024;87;VRAI
624;52;01/10/2024;60;VRAI
625;53;01/01/2022;92;FAUX
626;53;01/04/2022;69;VRAI
627;53;01/07/2022;67;VRAI
628;53;01/10/2022;99;FAUX
629;53;01/01/2023;83;FAUX
630;53;01/04/2023;79;VRAI
631;53;01/07/2023;95;VRAI
632;53;01/10/2023;80;FAUX
633;53;01/01/2024;53;VRAI
634;53;01/04/2024;55;FAUX
635;53;01/07/2024;53;FAUX
636;53;01/10/2024;96;FAUX
637;54;01/01/2022;88;VRAI
638;54;01/04/2022;68;VRAI
639;54;01/07/2022;98;FAUX
640;54;01/10/2022;78;VRAI
641;54;01/01/2023;65;FAUX
642;54;01/04/2023;74;FAUX
643;54;01/07/2023;60;FAUX
644;54;01/10/2023;56;FAUX
645;54;01/01/2024;71;VRAI
646;54;01/04/2024;68;VRAI
647;54;01/07/2024;75;FAUX
648;54;01/10/2024;90;FAUX
649;55;01/01/2022;72;VRAI
650;55;01/04/2022;62;VRAI
651;55;01/07/2022;51;FAUX
652;55;01/10/2022;65;VRAI
653;55;01/01/2023;77;VRAI
654;55;01/04/2023;84;VRAI
655;55;01/07/2023;62;VRAI
656;55;01/10/2023;70;FAUX
657;55;01/01/2024;83;FAUX
658;55;01/04/2024;90;FAUX
659;55;01/07/2024;51;FAUX
660;55;01/10/2024;81;FAUX
661;56;01/01/2022;89;FAUX
662;56;01/04/2022;77;VRAI
663;56;01/07/2022;90;VRAI
664;56;01/10/2022;90;FAUX
665;56;01/01/2023;53;VRAI
666;56;01/04/2023;59;VRAI
667;56;01/07/2023;60;FAUX
668;56;01/10/2023;87;FAUX
669;56;01/01/2024;94;VRAI
670;56;01/04/2024;65;VRAI
671;56;01/07/2024;51;VRAI
672;56;01/10/2024;90;VRAI
673;57;01/01/2022;78;FAUX
674;57;01/04/2022;69;VRAI
675;57;01/07/2022;63;FAUX
676;57;01/10/2022;98;FAUX
677;57;01/01/2023;80;FAUX
678;57;01/04/2023;89;FAUX
679;57;01/07/2023;67;FAUX
680;57;01/10/2023;74;VRAI
681;57;01/01/2024;68;FAUX
682;57;01/04/2024;77;FAUX
683;57;01/07/2024;80;VRAI
684;57;01/10/2024;52;FAUX
685;58;01/01/2022;71;VRAI
686;58;01/04/2022;85;VRAI
687;58;01/07/2022;63;VRAI
688;58;01/10/2022;58;FAUX
689;58;01/01/2023;79;VRAI
690;58;01/04/2023;61;VRAI
691;58;01/07/2023;81;VRAI
692;58;01/10/2023;69;VRAI
693;58;01/01/2024;96;FAUX
694;58;01/04/2024;60;FAUX
695;58;01/07/2024;57;FAUX
696;58;01/10/2024;76;FAUX
697;59;01/01/2022;89;FAUX
698;59;01/04/2022;96;FAUX
699;59;01/07/2022;93;FAUX
700;59;01/10/2022;97;VRAI
701;59;01/01/2023;70;FAUX
702;59;01/04/2023;69;FAUX
703;59;01/07/2023;53;VRAI
704;59;01/10/2023;62;VRAI
705;59;01/01/2024;58;FAUX
706;59;01/04/2024;61;VRAI
707;59;01/07/2024;62;FAUX
708;59;01/10/2024;75;FAUX
709;60;01/01/2022;91;VRAI
710;60;01/04/2022;88;FAUX
711;60;01/07/2022;68;FAUX
712;60;01/10/2022;68;VRAI
713;60;01/01/2023;62;VRAI
714;60;01/04/2023;77;VRAI
715;60;01/07/2023;51;FAUX
716;60;01/10/2023;71;VRAI
717;60;01/01/2024;58;VRAI
718;60;01/04/2024;63;VRAI
719;60;01/07/2024;97;FAUX
720;60;01/10/2024;64;FAUX
721;61;01/01/2022;82;VRAI
722;61;01/04/2022;73;FAUX
723;61;01/07/2022;62;FAUX
724;61;01/10/2022;96;FAUX
725;61;01/01/2023;65;FAUX
726;61;01/04/2023;66;FAUX
727;61;01/07/2023;92;FAUX
728;61;01/10/2023;52;VRAI
729;61;01/01/2024;61;FAUX
730;61;01/04/2024;65;FAUX
731;61;01/07/2024;65;VRAI
732;61;01/10/2024;98;VRAI
733;62;01/01/2022;92;VRAI
734;62;01/04/2022;82;FAUX
735;62;01/07/2022;61;VRAI
736;62;01/10/2022;67;VRAI
737;62;01/01/2023;77;FAUX
738;62;01/04/2023;72;FAUX
739;62;01/07/2023;79;VRAI
740;62;01/10/2023;94;FAUX
741;62;01/01/2024;64;VRAI
742;62;01/04/2024;64;FAUX
743;62;01/07/2024;91;FAUX
744;62;01/10/2024;87;FAUX
745;63;01/01/2022;93;VRAI
746;63;01/04/2022;78;VRAI
747;63;01/07/2022;74;FAUX
748;63;01/10/2022;73;VRAI
749;63;01/01/2023;68;FAUX
750;63;01/04/2023;71;FAUX
751;63;01/07/2023;82;FAUX
752;63;01/10/2023;74;FAUX
753;63;01/01/2024;58;FAUX
754;63;01/04/2024;72;VRAI
755;63;01/07/2024;74;FAUX
756;63;01/10/2024;65;FAUX
757;64;01/01/2022;97;VRAI
758;64;01/04/2022;64;VRAI
759;64;01/07/2022;71;VRAI
760;64;01/10/2022;87;FAUX
761;64;01/01/2023;63;FAUX
762;64;01/04/2023;67;VRAI
763;64;01/07/2023;90;FAUX
764;64;01/10/2023;52;FAUX
765;64;01/01/2024;98;VRAI
766;64;01/04/2024;96;VRAI
767;64;01/07/2024;76;VRAI
768;64;01/10/2024;76;VRAI
769;65;01/01/2022;98;VRAI
770;65;01/04/2022;56;VRAI
771;65;01/07/2022;78;VRAI
772;65;01/10/2022;84;VRAI
773;65;01/01/2023;86;VRAI
774;65;01/04/2023;61;FAUX
