id_depart;id_employe;date_depart;type_depart;anciennete
167;870;30/06/2020;volontaire;8
168;1476;14/07/2020;volontaire;4
169;1324;21/09/2023;involontaire;8
170;1449;15/04/2023;involontaire;6
171;877;14/06/2027;involontaire;9
172;629;16/06/2026;volontaire;4
173;1495;11/10/2022;involontaire;2
174;673;26/09/2025;volontaire;2
175;476;17/04/2024;volontaire;5
176;115;18/10/2024;volontaire;9
177;1022;04/06/2024;involontaire;3
178;1061;30/11/2023;involontaire;8
179;346;19/10/2020;involontaire;4
180;1274;20/07/2024;volontaire;6
181;1295;13/08/2025;involontaire;6
182;898;04/08/2024;volontaire;3
183;174;02/03/2026;volontaire;5
184;257;24/01/2025;volontaire;3
185;662;24/08/2023;volontaire;1
186;896;23/12/2024;volontaire;7
187;692;06/02/2023;volontaire;4
188;779;08/04/2023;involontaire;7
189;970;11/06/2022;volontaire;3
190;1020;21/06/2024;involontaire;5
191;505;18/12/2021;volontaire;5
192;149;31/01/2025;involontaire;2
193;585;06/12/2022;involontaire;2
194;462;31/12/2023;involontaire;4
195;360;21/11/2021;involontaire;4
196;613;27/12/2024;volontaire;4
197;1032;21/11/2022;volontaire;6
198;690;28/11/2023;volontaire;2
199;614;23/11/2024;volontaire;6
200;317;13/04/2024;involontaire;7
